;Open;Close;High;Low;Vol;Log_returns;Amihud;LHH;LIX;VAR;VAR_21;MACD;EMA_21;MA_21
2020-09-25;1683.1;1672.5;1690.0;1672.5;-0.43020325712129415;-0.00631781812973653;6.692905206997672e-08;11.468076069980922;8.082544581889039;0.004970503308997115;0.02459488229889641;-1.0949244711343908;-0.007284112972074874;-0.006872172017469813
2020-09-28;1665.0;1706.0;1723.7;1706.0;-0.1615610332812536;0.02432632563708026;8.013140028959104e-08;17.28269316167832;8.009693718688608;0.005527793068227433;0.024080702799731214;-1.318664419798779;-0.0049832196605961165;-0.00815904125515865
2020-09-29;1707.9;1725.9;1734.0;1725.9;-0.048871135123518594;0.010484107912211549;5.786976436693555e-08;13.520642929865472;8.332457929936966;0.003965950650200153;0.024268354629131163;-1.4456862310798897;-0.003545567424398266;-0.00718790576887407
2020-09-30;1713.2;1680.0;1718.0;1680.0;0.07022408441715466;-0.019569173343911395;1.3889048386760237e-07;10.537287699826942;7.678927725329021;0.005122496831193311;0.02432054720349274;-1.6767835841346823;-0.005566396336452617;-0.009583197097793872
2020-10-01;1694.7;1690.8;1707.9;1690.8;-0.3213040281643712;-0.002303944306691008;1.5424156254418305e-07;16.014165320380332;7.860173440579751;0.005018549584183656;0.024012246897357502;-1.833979136123844;-0.004536983345371337;-0.0076820491053766204
2020-10-02;1708.0;1712.9;1729.5;1712.9;0.5448329024292078;0.0028647451554233427;7.120455693799527e-08;9.403433651984443;8.067582743777145;0.004709616644356591;0.023718893002269006;-1.8949213222333583;-0.0030092361745556184;-0.0056001922178186
2020-10-05;1714.7;1717.6;1727.6;1717.6;0.11004042239950262;0.001689829379765584;5.6225688102924015e-08;9.002327693039023;8.334219647896097;0.00341709759220235;0.02368214367799903;-1.9228210749070058;-0.002502011331332099;-0.005692801155553706
2020-10-06;1719.0;1662.1;1723.4;1662.1;0.06644172008551252;-0.03366086330578444;7.433323234509435e-08;13.396393929606575;7.56043141814559;0.004437051130543138;0.022543495541879104;-2.093830430041862;-0.005144082641234671;-0.009170245038347402
2020-10-07;1674.0;1680.9;1685.6;1680.9;-0.5327398293495753;0.0041133921899279;7.854443764892326e-08;11.301158129449375;8.350237525672545;0.0022705793752175745;0.021941823616221948;-2.174500360755019;-0.003725515793328027;-0.007201418722610486
2020-10-08;1680.3;1675.0;1691.4;1675.0;0.4991617649876421;-0.0031591836247297778;8.874915686892093e-08;9.840633392922163;7.981812967071478;0.0043980631653604;0.021716085583193403;-2.247867820847432;-0.003706658228370907;-0.006406671625503013
2020-10-09;1683.9;1701.6;1709.0;1701.6;-0.1947709620011311;0.01045645326976441;8.051579060254403e-08;10.658879654961895;8.240187188844558;0.0028809486446160653;0.021988307136895008;-2.2219832122607386;-0.0019922471858196955;-0.005882417228132875
2020-10-12;1713.3;1724.1;1730.7;1724.1;0.3042605899726083;0.0062838398428786135;6.494104106877737e-08;8.610039301326728;8.410944319664697;0.002326902038129466;0.022082978003850937;-2.123096178071137;-0.0006366682002121316;-0.005315333390132904
2020-10-13;1717.6;1723.0;1741.8;1723.0;-0.19520723326278688;0.003138989963358263;9.827713007887295e-08;10.981694820298056;7.86173729594396;0.002616467508564955;0.021723735412657628;-2.02961383444449;-0.0006367897694964375;-0.00442916785247538
2020-10-14;1728.0;1798.9;1800.0;1798.9;0.7920918833439388;0.04021069660463983;5.426248843432887e-08;15.576880374448638;9.366584477245093;0.0050600204081180065;0.023775170431865555;-1.7219103280142463;0.00339985699505041;-0.0023729171060957732
2020-10-15;1799.5;1780.8;1806.6;1780.8;-0.23680400722526795;-0.010446146997804995;7.552351146688528e-08;11.443289127927857;7.874601663040957;0.004902932056357562;0.023709969352109367;-1.5006713747802678;0.0021346129539074887;-0.003204798295225242
2020-10-16;1782.0;1786.8;1808.2;1786.8;-0.1838017911613805;0.002689981447209;7.724610068644689e-08;11.024802089901353;7.869064029835551;0.0028816115096570306;0.02039749761902666;-1.285933401219836;0.002249245530450583;0.00041026041768410515
2020-10-19;1794.7;1796.0;1807.5;1796.0;-0.44765473765005337;0.0007240928269141023;8.906697813576274e-08;11.076331929508866;7.883220984634069;0.0018760646056569504;0.020137142411602253;-1.0688585896227778;0.002518763462571627;0.0012721226594059054
2020-10-20;1795.8;1772.5;1795.9;1772.5;0.3817943278933751;-0.013059625680425846;5.6460736234266146e-08;12.533994645347706;7.709426284724042;0.004801099583393699;0.018943281899908123;-0.9441857672343303;0.0010646342628148897;0.0023348341654778615
2020-10-21;1777.0;1773.6;1784.0;1773.6;0.3469334634781194;-0.0019151698525492478;1.4193722636759068e-07;15.498686655637009;8.191224381834209;0.006311130231904002;0.018008899550288598;-0.8291139203654438;0.0010238375106745856;0.003168867268936948
2020-10-22;1784.0;1783.4;1819.8;1783.4;0.5462330196012983;-0.00033637943917597113;9.817738869491247e-08;8.909214097737214;7.838824363018056;0.003924692987081472;0.017757917424309187;-0.6981173907317952;0.0014372638555228967;0.004693951065421587
2020-10-23;1788.6;1768.8;1798.2;1768.8;-0.485893394667532;-0.011131840368843626;1.0605490308945795e-07;20.489284235225547;7.6390615673148545;0.005107878428381392;0.014983926509291718;-0.6237721096163114;0.0005498097062108798;0.002062970235862771
2020-10-26;1762.9;1750.1;1776.0;1750.1;-0.24795230847005334;-0.007287251149586282;3.032715127428477e-07;17.106515243417707;7.5657386513751925;0.004608903089374507;0.015006623134206419;-0.6099512305452208;-0.00046683256312785026;0.0021357876542664744
2020-10-27;1758.0;1770.3;1782.5;1770.3;0.5867721388795015;0.00697222448611079;1.8800359505870865e-07;11.535415361175502;8.098177155704642;0.002915853510642856;0.014059290550300996;-0.5371131502536173;0.0006197985191225275;0.0017659595504631032
